label,cov,strict,violations,sigma,mae,mae_lo,mae_hi,mae_diff_p,spearman,top10,latency_s,cost_usd,n_calls
anthropic/claude-sonnet-5,94.44444,97.2549,0,0.01109,0.0,0.0,0.0,1.0,1.0,10,3.24685,0.00394,270
minimax/minimax-m3@low,96.2963,91.15385,1,0.05684,0.07229,0.05444,0.09225,0.957,0.90531,6,4.32944,0.00027,270
tencent/hy3,100.0,100.0,0,0.03322,0.08762,0.06779,0.10923,1.0,0.8866,5,4.22104,6e-05,270
deepseek/deepseek-v4-flash-0731@medium,99.62963,100.0,1,0.04718,0.09174,0.073,0.11229,0.354,0.90468,6,13.88537,0.00013,270
deepseek/deepseek-v4-flash-0731@low,100.0,100.0,1,0.05776,0.09607,0.07716,0.11566,0.1945,0.89458,6,16.76996,0.00014,270
minimax/minimax-m3,97.03704,100.0,1,0.0536,0.09874,0.07585,0.12347,0.1605,0.91861,8,2.458,0.00021,270
xiaomi/mimo-v2.5,100.0,100.0,2,0.06538,0.10254,0.08001,0.12492,0.058,0.88476,6,5.55181,7e-05,270
qwen/qwen3.8-flash,99.62963,100.0,1,0.06285,0.11781,0.08994,0.14874,0.0015,0.87304,5,1.88663,0.0001,270
inception/mercury-2.5,99.25926,99.62687,0,0.06229,0.11979,0.09871,0.14335,0.0,0.89706,6,0.89119,7e-05,270
google/gemini-3.5-flash-lite,100.0,100.0,0,0.01483,0.12444,0.09611,0.15415,0.001,0.88485,7,1.06048,0.00044,270
anthropic/claude-haiku-4.5,100.0,0.0,0,0.0103,0.13649,0.11678,0.15802,0.0005,0.90335,7,2.34611,0.00161,270
deepseek/deepseek-v4.1-flash,100.0,100.0,3,0.06055,0.14033,0.11601,0.16493,0.0,0.90744,8,4.43474,0.00025,270
z-ai/glm-5.3-flash,100.0,97.40741,0,0.03514,0.14707,0.12438,0.1693,0.0,0.92938,7,11.48137,0.0005,270
deepseek/deepseek-v4-flash-0731,100.0,100.0,3,0.08121,0.15831,0.13519,0.18202,0.0,0.90447,6,4.32911,8e-05,270
openai/gpt-5.6-luna,100.0,100.0,2,0.02393,0.18083,0.14251,0.22161,0.0,0.9332,5,1.79948,0.00027,270
baseline:tfidf,100.0,100.0,2,nan,nan,nan,nan,0.0,0.56212,4,0.0,0.0,90
